Timestamp,World Population,Births Today,Deaths Today,Net Growth Today,Births This Year,Deaths This Year,Net Growth This Year
04-09-2025 13:44,"8,24,45,23,249","2,07,588","97,817","1,09,771","8,94,46,313","4,21,47,522","4,72,98,791"
04-09-2025 13:49,"8,24,45,23,922","2,08,860","98,416","1,10,445","8,94,47,585","4,21,48,121","4,72,99,464"
04-09-2025 13:54,"8,24,45,24,627","2,10,193","99,044","1,11,150","8,94,48,918","4,21,48,749","4,73,00,169"
04-09-2025 13:59,"8,24,45,25,293","2,11,453","99,638","1,11,815","8,94,50,177","4,21,49,343","4,73,00,835"
04-09-2025 14:04,"8,24,45,25,969","2,12,730","1,00,239","1,12,491","8,94,51,454","4,21,49,944","4,73,01,510"
04-09-2025 14:36,"8,24,45,30,176","2,20,686","1,03,988","1,16,698","8,94,59,410","4,21,53,693","4,73,05,717"
04-09-2025 14:39,"8,24,45,30,623","2,21,534","1,04,388","1,17,146","8,94,60,258","4,21,54,093","4,73,06,165"
04-09-2025 14:44,"8,24,45,31,295","2,22,804","1,04,987","1,17,818","8,94,61,529","4,21,54,692","4,73,06,837"
04-09-2025 14:49,"8,24,45,31,956","2,24,052","1,05,574","1,18,478","8,94,62,776","4,21,55,279","4,73,07,497"
04-09-2025 14:54,"8,24,45,32,622","2,25,312","1,06,168","1,19,144","8,94,64,036","4,21,55,873","4,73,08,163"
04-09-2025 14:59,"8,24,45,33,288","2,26,571","1,06,761","1,19,810","8,94,65,295","4,21,56,466","4,73,08,829"
04-09-2025 15:04,"8,24,45,33,953","2,27,831","1,07,355","1,20,476","8,94,66,555","4,21,57,060","4,73,09,495"
04-09-2025 15:09,"8,24,45,34,620","2,29,090","1,07,948","1,21,142","8,94,67,814","4,21,57,653","4,73,10,161"
04-09-2025 15:14,"8,24,45,35,286","2,30,350","1,08,542","1,21,808","8,94,69,074","4,21,58,247","4,73,10,828"
04-09-2025 15:19,"8,24,45,35,951","2,31,607","1,09,134","1,22,473","8,94,70,332","4,21,58,840","4,73,11,492"
04-09-2025 15:24,"8,24,45,36,619","2,32,870","1,09,729","1,23,141","8,94,71,594","4,21,59,434","4,73,12,160"
04-09-2025 15:29,"8,24,45,37,296","2,34,151","1,10,333","1,23,818","8,94,72,875","4,21,60,038","4,73,12,837"
04-09-2025 15:34,"8,24,45,37,950","2,35,389","1,10,917","1,24,473","8,94,74,114","4,21,60,622","4,73,13,492"
04-09-2025 15:39,"8,24,45,38,615","2,36,647","1,11,509","1,25,138","8,94,75,371","4,21,61,214","4,73,14,157"
04-09-2025 15:44,"8,24,45,39,283","2,37,908","1,12,104","1,25,804","8,94,76,632","4,21,61,809","4,73,14,824"
04-09-2025 15:49,"8,24,45,39,948","2,39,167","1,12,697","1,26,470","8,94,77,891","4,21,62,402","4,73,15,490"
04-09-2025 15:54,"8,24,45,40,614","2,40,426","1,13,290","1,27,136","8,94,79,150","4,21,62,995","4,73,16,155"
04-09-2025 15:59,"8,24,45,41,281","2,41,688","1,13,884","1,27,804","8,94,80,412","4,21,63,589","4,73,16,823"
04-09-2025 16:04,"8,24,45,41,946","2,42,945","1,14,477","1,28,468","8,94,81,669","4,21,64,182","4,73,17,487"
04-09-2025 16:09,"8,24,45,42,612","2,44,205","1,15,070","1,29,135","8,94,82,929","4,21,64,775","4,73,18,153"
04-09-2025 16:14,"8,24,45,43,278","2,45,463","1,15,663","1,29,800","8,94,84,188","4,21,65,369","4,73,18,819"
04-09-2025 21:22,"8,24,45,84,352","3,23,138","1,52,265","1,70,874","8,95,61,864","4,22,01,970","4,73,59,894"
04-09-2025 21:25,"8,24,45,84,699","3,23,795","1,52,574","1,71,222","8,95,62,521","4,22,02,280","4,73,60,242"
04-09-2025 21:41,"8,24,45,86,896","3,27,951","1,54,532","1,73,419","8,95,66,675","4,22,04,237","4,73,62,438"
04-09-2025 21:56,"8,24,45,88,817","3,31,582","1,56,243","1,75,340","8,95,70,307","4,22,05,949","4,73,64,359"
04-09-2025 21:56,"8,24,45,88,850","3,31,646","1,56,273","1,75,373","8,95,70,371","4,22,05,979","4,73,64,393"
04-09-2025 21:59,"8,24,45,89,265","3,32,430","1,56,643","1,75,788","8,95,71,155","4,22,06,348","4,73,64,807"
04-09-2025 22:04,"8,24,45,89,900","3,33,633","1,57,210","1,76,424","8,95,72,358","4,22,06,915","4,73,65,443"
04-09-2025 22:09,"8,24,45,90,566","3,34,892","1,57,803","1,77,089","8,95,73,616","4,22,07,508","4,73,66,108"
05-09-2025 13:27,"8,24,47,12,913","2,03,492","95,887","1,07,606","8,98,04,976","4,23,16,526","4,74,88,450"
05-09-2025 13:29,"8,24,47,13,147","2,03,937","96,096","1,07,842","8,98,05,421","4,23,16,736","4,74,88,686"
05-09-2025 13:32,"8,24,47,13,584","2,04,762","96,485","1,08,277","8,98,06,246","4,23,17,124","4,74,89,122"
05-09-2025 13:37,"8,24,47,14,188","2,05,906","97,024","1,08,882","8,98,07,389","4,23,17,663","4,74,89,726"
05-09-2025 13:37,"8,24,47,14,225","2,05,973","97,056","1,08,918","8,98,07,457","4,23,17,695","4,74,89,762"
05-09-2025 13:44,"8,24,47,15,151","2,07,725","97,881","1,09,844","8,98,09,209","4,23,18,521","4,74,90,689"
05-09-2025 13:52,"8,24,47,16,187","2,09,684","98,804","1,10,880","8,98,11,168","4,23,19,444","4,74,91,725"
05-09-2025 14:10,"8,24,47,18,594","2,14,237","1,00,950","1,13,288","8,98,15,721","4,23,21,589","4,74,94,133"
05-09-2025 14:53,"8,24,47,24,397","2,25,210","1,06,120","1,19,091","8,98,26,694","4,23,26,760","4,74,99,935"
05-09-2025 15:00,"8,24,47,25,289","2,26,896","1,06,915","1,19,982","8,98,28,380","4,23,27,554","4,75,00,827"
05-09-2025 15:02,"8,24,47,25,562","2,27,412","1,07,158","1,20,255","8,98,28,896","4,23,27,797","4,75,01,099"
05-09-2025 15:10,"8,24,47,26,618","2,29,411","1,08,100","1,21,312","8,98,30,895","4,23,28,739","4,75,02,156"
05-09-2025 18:12,"8,24,47,50,879","2,75,288","1,29,717","1,45,572","8,98,76,772","4,23,50,356","4,75,26,416"
05-09-2025 19:00,"8,24,47,57,224","2,87,282","1,35,369","1,51,914","8,98,88,767","4,23,56,009","4,75,32,758"
05-09-2025 20:54,"8,24,47,72,432","3,16,049","1,48,924","1,67,125","8,99,17,532","4,23,69,563","4,75,47,970"
05-09-2025 20:56,"8,24,47,72,742","3,16,637","1,49,201","1,67,436","8,99,18,121","4,23,69,841","4,75,48,281"
05-09-2025 21:25,"8,24,47,76,521","3,23,781","1,52,567","1,71,215","8,99,25,265","4,23,73,207","4,75,52,059"
05-09-2025 22:09,"8,24,47,82,346","3,34,798","1,57,758","1,77,039","8,99,36,282","4,23,78,398","4,75,57,885"
05-09-2025 22:26,"8,24,47,84,716","3,39,278","1,59,870","1,79,409","8,99,40,762","4,23,80,509","4,75,60,253"
05-09-2025 23:19,"8,24,47,91,751","3,52,582","1,66,139","1,86,444","8,99,54,066","4,23,86,778","4,75,67,289"
05-09-2025 23:48,"8,24,47,95,637","3,59,925","1,69,599","1,90,327","8,99,61,410","4,23,90,238","4,75,71,172"
06-09-2025 16:59,"8,24,49,32,993","2,56,903","1,21,054","1,35,850","9,02,21,146","4,25,12,627","4,77,08,520"
06-09-2025 17:01,"8,24,49,33,161","2,57,231","1,21,209","1,36,023","9,02,21,474","4,25,12,781","4,77,08,693"
06-09-2025 18:01,"8,24,49,41,142","2,72,323","1,28,320","1,44,003","9,02,36,565","4,25,19,892","4,77,16,673"
06-09-2025 18:01,"8,24,49,41,187","2,72,418","1,28,365","1,44,053","9,02,36,661","4,25,19,937","4,77,16,723"
06-09-2025 19:14,"8,24,49,50,879","2,90,745","1,37,001","1,53,744","9,02,54,988","4,25,28,573","4,77,26,414"
06-09-2025 19:14,"8,24,49,50,950","2,90,876","1,37,062","1,53,815","9,02,55,119","4,25,28,635","4,77,26,484"
06-09-2025 19:14,"8,24,49,50,986","2,90,942","1,37,094","1,53,849","9,02,55,185","4,25,28,666","4,77,26,519"
