Timestamp,World Population,Births Today,Deaths Today,Net Growth Today,Births This Year,Deaths This Year,Net Growth This Year
2025-07-16 11:23:05,"8,234,913,227","172,081","81,085","90,996","71,272,853","33,584,103","37,688,751"
2025-07-16 11:25:28,N/A,"172,681","81,368","91,313","71,273,453","33,584,385","37,689,068"
2025-07-16 11:27:06,N/A,"173,095","81,563","91,532","71,273,867","33,584,580","37,689,287"
2025-07-16 11:29:27,"8,234,914,110","173,687","81,842","91,846","71,274,460","33,584,860","37,689,600"
2025-07-16 11:30:44,N/A,"174,008","81,993","92,015","71,274,780","33,585,011","37,689,770"
2025-07-16 11:44:19,N/A,"177,432","83,607","93,825","71,278,204","33,586,624","37,691,580"
2025-07-16 18:04:13,"8,234,966,651","273,134","128,702","144,433","71,373,907","33,631,720","37,742,188"
2025-07-16 18:15:17,"8,234,968,125","275,920","130,015","145,905","71,376,693","33,633,032","37,743,661"
2025-07-16 21:15:19,N/A,"321,274","151,386","169,888","71,422,046","33,654,403","37,767,644"
2025-07-17 00:52:55,"8,235,021,095","13,334","6,283","7,051","71,476,865","33,680,234","37,796,631"
2025-07-17 01:15:37,N/A,"19,053","8,978","10,076","71,482,585","33,682,930","37,799,656"
2025-07-28 23:51:44,N/A,"360,680","169,954","190,726","75,814,561","35,724,176","40,090,384"
2025-07-28 23:52:33,"8,237,315,017","360,886","170,051","190,835","75,814,767","35,724,274","40,090,494"
2025-07-29 02:01:09,N/A,"30,523","14,383","16,141","75,847,163","35,739,539","40,107,625"
2025-07-29 02:01:10,N/A,"30,525","14,384","16,142","75,847,165","35,739,540","40,107,627"
2025-07-30 20:53:24,"8,237,674,742","315,753","148,784","166,969","76,495,151","36,044,875","40,450,278"
2025-07-30 23:21:30,N/A,"353,064","166,365","186,699","76,532,462","36,062,456","40,470,008"
2025-07-30 23:21:37,N/A,"353,092","166,379","186,713","76,532,490","36,062,469","40,470,023"
2025-07-30 23:42:56,N/A,"358,461","168,909","189,552","76,537,859","36,064,999","40,472,862"
2025-07-30 23:45:21,"8,237,697,648","359,068","169,195","189,874","76,538,467","36,065,285","40,473,183"
2025-07-30 23:50:38,N/A,"360,400","169,822","190,578","76,539,798","36,065,912","40,473,887"
2025-07-30 23:55:16,N/A,"361,569","170,373","191,196","76,540,967","36,066,463","40,474,505"
2025-07-31 00:00:24,"8,237,699,662",105,49,56,"76,542,262","36,067,072","40,475,190"
2025-07-31 00:05:29,"8,237,700,339","1,384",652,732,"76,543,541","36,067,675","40,475,866"
2025-07-31 00:15:14,N/A,"3,841","1,810","2,031","76,545,998","36,068,833","40,477,165"
2025-07-31 00:20:39,"8,237,702,370","5,202","2,451","2,751","76,547,360","36,069,475","40,477,885"
2025-07-31 00:25:13,"8,237,702,960","6,356","2,995","3,361","76,548,513","36,070,018","40,478,495"
